Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Kobus megaceros,Mammalia,Female,a0,1.622042077,0.109909402,1.404536237,1.828817697
Kobus megaceros,Mammalia,Female,a1,34.32139691,2.798555929,29.05418784,39.93477851
Kobus megaceros,Mammalia,Female,c,0.054041631,0.006335421,0.040400691,0.065255562
Kobus megaceros,Mammalia,Female,b0,-5.696247475,0.587828508,-6.946944828,-4.605865707
Kobus megaceros,Mammalia,Female,b1,0.269351768,0.037194049,0.198593677,0.345447184
Kobus megaceros,Mammalia,Male,a0,2.254716725,0.092428429,2.073260863,2.433327084
Kobus megaceros,Mammalia,Male,a1,47.10270935,2.986029847,41.40043427,53.23518475
Kobus megaceros,Mammalia,Male,c,0.072512962,0.022188394,0.018297889,0.105138223
Kobus megaceros,Mammalia,Male,b0,-3.883757837,0.698175168,-5.313826435,-2.645431467
Kobus megaceros,Mammalia,Male,b1,0.167328781,0.045928274,0.088624997,0.261316455
Trachypithecus auratus,Mammalia,Female,a0,1.393420739,0.178629919,1.033372635,1.727059132
Trachypithecus auratus,Mammalia,Female,a1,22.65617182,3.31194452,16.50406689,29.34634357
Trachypithecus auratus,Mammalia,Female,c,0.063622781,0.006573049,0.050070918,0.075563586
Trachypithecus auratus,Mammalia,Female,b0,-8.45853396,1.884116313,-12.72874548,-5.419133039
Trachypithecus auratus,Mammalia,Female,b1,0.324796212,0.091278598,0.17034296,0.529577909
Trachypithecus auratus,Mammalia,Male,a0,1.355790553,0.205069173,0.938382613,1.75215106
Trachypithecus auratus,Mammalia,Male,a1,21.58220783,3.168392365,15.78944439,27.97496694
Trachypithecus auratus,Mammalia,Male,c,0.071785575,0.012218055,0.039630018,0.089707731
Trachypithecus auratus,Mammalia,Male,b0,-8.413899145,2.962979945,-14.87712487,-3.679285658
Trachypithecus auratus,Mammalia,Male,b1,0.256295103,0.138020701,0.033138353,0.557637564
Trachypithecus cristatus,Mammalia,Female,a0,-1.012681184,0.59380787,-2.316041176,0.013710727
Trachypithecus cristatus,Mammalia,Female,a1,9.076713764,3.516318789,2.244151382,16.2749818
Trachypithecus cristatus,Mammalia,Female,c,0.064907526,0.0100918,0.040095754,0.080869386
Trachypithecus cristatus,Mammalia,Female,b0,-9.056221557,2.968605028,-15.48340692,-4.022362458
Trachypithecus cristatus,Mammalia,Female,b1,0.2502391,0.128860177,0.029774271,0.515168056
Trachypithecus cristatus,Mammalia,Male,a0,-0.23402915,0.350234792,-0.961752329,0.432629374
Trachypithecus cristatus,Mammalia,Male,a1,4.895321673,1.752337943,2.450612476,9.216409209
Trachypithecus cristatus,Mammalia,Male,c,0.062609004,0.015844217,0.021097915,0.087428847
Trachypithecus cristatus,Mammalia,Male,b0,-7.882490688,2.896060053,-14.53744313,-3.493363498
Trachypithecus cristatus,Mammalia,Male,b1,0.264683739,0.134845508,0.056642228,0.572343484
Trachypithecus obscurus,Mammalia,Female,a0,-0.770084871,0.443823802,-1.662665824,0.05987742
Trachypithecus obscurus,Mammalia,Female,a1,5.193560916,2.416890595,1.74031505,10.70636176
Trachypithecus obscurus,Mammalia,Female,c,0.045654287,0.015951567,0.008650695,0.072801666
Trachypithecus obscurus,Mammalia,Female,b0,-5.794595214,1.553548514,-9.501416344,-3.482525712
Trachypithecus obscurus,Mammalia,Female,b1,0.173639429,0.067236166,0.068118215,0.328278259
Trachypithecus obscurus,Mammalia,Male,a0,0.612026847,0.316935426,-0.039966063,1.195985401
Trachypithecus obscurus,Mammalia,Male,a1,11.18541728,3.329987686,5.457359685,18.33859193
Trachypithecus obscurus,Mammalia,Male,c,0.062551407,0.013599165,0.027734267,0.084659341
Trachypithecus obscurus,Mammalia,Male,b0,-8.188454778,2.82300604,-14.68079761,-3.762765465
Trachypithecus obscurus,Mammalia,Male,b1,0.257516449,0.114627596,0.071790655,0.516131213
Hylobates lar,Mammalia,Female,a0,-0.865420506,0.398842493,-1.721487642,-0.160880135
Hylobates lar,Mammalia,Female,a1,11.20168706,4.534924647,2.942434411,19.77665833
Hylobates lar,Mammalia,Female,c,0.031021118,0.002375509,0.026423108,0.035332953
Hylobates lar,Mammalia,Female,b0,-10.55742976,2.377591265,-15.66139593,-6.405406983
Hylobates lar,Mammalia,Female,b1,0.178114689,0.065323423,0.055062686,0.310062137
Hylobates lar,Mammalia,Male,a0,-1.248681777,0.260116822,-1.758771367,-0.750214144
Hylobates lar,Mammalia,Male,a1,3.33288468,1.054946107,1.752277106,5.859378286
Hylobates lar,Mammalia,Male,c,0.025925989,0.002213648,0.021695527,0.029995929
Hylobates lar,Mammalia,Male,b0,-10.7970806,2.266371107,-15.81086814,-7.163983454
Hylobates lar,Mammalia,Male,b1,0.176293974,0.053020908,0.086104985,0.296433345
Lagostomus maximus,Mammalia,Female,a0,-0.203930595,0.425269251,-1.151122326,0.536074369
Lagostomus maximus,Mammalia,Female,a1,7.627831306,2.518619622,3.562569453,13.34978655
Lagostomus maximus,Mammalia,Female,c,0.166312786,0.056773211,0.024477358,0.248839512
Lagostomus maximus,Mammalia,Female,b0,-5.573565703,2.730300007,-12.52702559,-2.111399666
Lagostomus maximus,Mammalia,Female,b1,0.509854252,0.303448442,0.123631792,1.267054022
Lagostomus maximus,Mammalia,Male,a0,0.946667666,0.265571697,0.420534417,1.467079051
Lagostomus maximus,Mammalia,Male,a1,10.77204777,3.265163966,5.733212981,18.39390266
Lagostomus maximus,Mammalia,Male,c,0.137501202,0.053598498,0.020557852,0.229541521
Lagostomus maximus,Mammalia,Male,b0,-4.261452056,1.333266324,-7.487964075,-2.301052716
Lagostomus maximus,Mammalia,Male,b1,0.489968872,0.17261006,0.226079855,0.891760355
Cavia aperea,Mammalia,Female,a0,-0.573622314,0.256649347,-1.121377877,-0.117334066
Cavia aperea,Mammalia,Female,a1,3.373722086,1.073549757,1.714477408,5.931168812
Cavia aperea,Mammalia,Female,c,0.31321163,0.077095235,0.09480306,0.40918674
Cavia aperea,Mammalia,Female,b0,-5.699835791,2.80551511,-12.35039325,-1.674987459
Cavia aperea,Mammalia,Female,b1,0.550552528,0.343271174,0.058788107,1.339484674
Cavia aperea,Mammalia,Male,a0,-0.190473066,0.19121117,-0.628164351,0.135441461
Cavia aperea,Mammalia,Male,a1,1.211067289,0.475390256,0.487165516,2.331803079
Cavia aperea,Mammalia,Male,c,0.349633209,0.116445847,0.081530319,0.539227067
Cavia aperea,Mammalia,Male,b0,-7.780413484,3.07027232,-14.3567615,-2.352199906
Cavia aperea,Mammalia,Male,b1,1.091954227,0.654390138,0.060695132,2.436725009
Cavia porcellus,Mammalia,Female,a0,-1.643366836,0.213972012,-2.072408932,-1.234528906
Cavia porcellus,Mammalia,Female,a1,3.67678198,0.901193377,2.268690056,5.762193893
Cavia porcellus,Mammalia,Female,c,0.005299621,0.004950614,0.000133713,0.017869509
Cavia porcellus,Mammalia,Female,b0,-2.773953366,0.073862824,-2.93575176,-2.646236329
Cavia porcellus,Mammalia,Female,b1,0.354256682,0.013839719,0.32847695,0.383098402
Cavia porcellus,Mammalia,Male,a0,-0.310850786,0.176623662,-0.675499192,0.026500288
Cavia porcellus,Mammalia,Male,a1,6.298784411,1.273207857,3.956077089,8.903469346
Cavia porcellus,Mammalia,Male,c,0.036164446,0.022727192,0.001750783,0.084380409
Cavia porcellus,Mammalia,Male,b0,-2.788983087,0.261120943,-3.385647143,-2.399914345
Cavia porcellus,Mammalia,Male,b1,0.340495985,0.037538343,0.27948528,0.424477725
Cervus wallichi,Mammalia,Female,a0,-0.335187037,0.194507621,-0.720490167,0.044180364
Cervus wallichi,Mammalia,Female,a1,2.733475023,0.682592226,1.69780247,4.3397605
Cervus wallichi,Mammalia,Female,c,0.071802816,0.014369626,0.037366847,0.096045232
Cervus wallichi,Mammalia,Female,b0,-7.201248762,1.916131116,-11.82771377,-4.119900751
Cervus wallichi,Mammalia,Female,b1,0.327880964,0.10838895,0.146941255,0.585083083
Cervus wallichi,Mammalia,Male,a0,1.535094137,0.167844246,1.190780605,1.856721038
Cervus wallichi,Mammalia,Male,a1,22.37111869,2.907198009,16.96856228,28.18952453
Cervus wallichi,Mammalia,Male,c,0.132904648,0.014979667,0.10272736,0.158266894
Cervus wallichi,Mammalia,Male,b0,-7.892493336,2.3503014,-13.39720367,-4.125762282
Cervus wallichi,Mammalia,Male,b1,0.398934503,0.149096425,0.133125941,0.73435266
Cervus nippon,Mammalia,Female,a0,1.448562338,0.078408582,1.293856382,1.599513923
Cervus nippon,Mammalia,Female,a1,40.16677159,2.471565993,35.35767536,45.10149068
Cervus nippon,Mammalia,Female,c,0.05522847,0.002474489,0.050324713,0.059955215
Cervus nippon,Mammalia,Female,b0,-6.952365306,0.430403434,-7.822074405,-6.14781328
Cervus nippon,Mammalia,Female,b1,0.30243623,0.024454062,0.256413371,0.351132607
Cervus nippon,Mammalia,Male,a0,1.758087854,0.080695497,1.597318904,1.914813111
Cervus nippon,Mammalia,Male,a1,50.34481432,2.989987977,44.50396538,56.16361804
Cervus nippon,Mammalia,Male,c,0.129120146,0.004195426,0.12051766,0.136988508
Cervus nippon,Mammalia,Male,b0,-8.221278707,1.304081705,-11.22871484,-6.009388751
Cervus nippon,Mammalia,Male,b1,0.365955506,0.073591534,0.235281307,0.526859736
Lontra canadensis,Mammalia,Female,a0,0.407023687,0.203325123,-0.007557208,0.805848729
Lontra canadensis,Mammalia,Female,a1,6.917015764,1.186077475,4.894112533,9.561041221
Lontra canadensis,Mammalia,Female,c,0.05043491,0.004400418,0.042053135,0.059190595
Lontra canadensis,Mammalia,Female,b0,-9.367066484,1.057049675,-11.62423896,-7.596926183
Lontra canadensis,Mammalia,Female,b1,0.447171311,0.05794809,0.348238165,0.569890746
Lontra canadensis,Mammalia,Male,a0,0.545827669,0.228327409,0.066784355,0.981227384
Lontra canadensis,Mammalia,Male,a1,11.01219683,2.069315821,7.21248728,15.25861937
Lontra canadensis,Mammalia,Male,c,0.052513415,0.004087599,0.044561343,0.060643064
Lontra canadensis,Mammalia,Male,b0,-8.981173093,0.820937581,-10.74097468,-7.482642754
Lontra canadensis,Mammalia,Male,b1,0.427461041,0.045535378,0.341299209,0.522196074
Gorilla gorilla,Mammalia,Female,a0,-0.80160824,0.177916681,-1.146318288,-0.448555527
Gorilla gorilla,Mammalia,Female,a1,3.198470181,0.596501396,2.257843691,4.589812913
Gorilla gorilla,Mammalia,Female,c,0.008025634,0.001763335,0.004190739,0.01117471
Gorilla gorilla,Mammalia,Female,b0,-8.907170557,1.788164156,-13.41907925,-6.360853998
Gorilla gorilla,Mammalia,Female,b1,0.115953592,0.033369672,0.064724245,0.196797784
Gorilla gorilla,Mammalia,Male,a0,-0.687727312,0.184862596,-1.049823145,-0.321969022
Gorilla gorilla,Mammalia,Male,a1,3.563967682,0.690993599,2.44018339,5.158846241
Gorilla gorilla,Mammalia,Male,c,0.004665577,0.002235681,0.000460007,0.008965212
Gorilla gorilla,Mammalia,Male,b0,-6.412945185,0.600351054,-7.707873412,-5.405171805
Gorilla gorilla,Mammalia,Male,b1,0.090577019,0.015597559,0.063078205,0.123139856
Catagonus wagneri,Mammalia,Female,a0,0.601590539,0.239301755,0.143993074,1.05920645
Catagonus wagneri,Mammalia,Female,a1,7.247407618,1.535203289,4.634680782,10.55439901
Catagonus wagneri,Mammalia,Female,c,0.016525944,0.006577058,0.004385694,0.030222602
Catagonus wagneri,Mammalia,Female,b0,-7.672127039,1.279799117,-10.56365455,-5.520784675
Catagonus wagneri,Mammalia,Female,b1,0.362256267,0.075045263,0.229810562,0.522784143
Catagonus wagneri,Mammalia,Male,a0,0.740711129,0.379240452,-0.07867223,1.38918283
Catagonus wagneri,Mammalia,Male,a1,11.26304333,4.357073031,3.338303275,19.53873195
Catagonus wagneri,Mammalia,Male,c,0.033858176,0.008674458,0.016512544,0.051031295
Catagonus wagneri,Mammalia,Male,b0,-11.8430127,2.736110947,-17.97353981,-7.199251021
Catagonus wagneri,Mammalia,Male,b1,0.535989314,0.145332877,0.280691358,0.850450903
Erinaceus europaeus,Mammalia,Female,a0,0.474891488,0.514205352,-0.645718308,1.392424532
Erinaceus europaeus,Mammalia,Female,a1,9.3798853,3.232717236,3.881579078,16.20143419
Erinaceus europaeus,Mammalia,Female,c,0.157480601,0.077404983,0.014113164,0.294533456
Erinaceus europaeus,Mammalia,Female,b0,-3.899467434,1.990202955,-9.434692319,-1.878784645
Erinaceus europaeus,Mammalia,Female,b1,0.368552062,0.210940316,0.126301085,0.94249239
Erinaceus europaeus,Mammalia,Male,a0,-0.168538916,0.706798744,-1.847471816,0.926330517
Erinaceus europaeus,Mammalia,Male,a1,6.96713882,2.599588117,2.661792305,12.71682305
Erinaceus europaeus,Mammalia,Male,c,0.190056077,0.09832539,0.015105812,0.358180781
Erinaceus europaeus,Mammalia,Male,b0,-3.701656251,2.201948708,-10.16271913,-1.587112384
Erinaceus europaeus,Mammalia,Male,b1,0.333249915,0.205709918,0.087196255,0.885272074
Pan troglodytes,Mammalia,Female,a0,0.094467629,0.157612772,-0.223225545,0.386749622
Pan troglodytes,Mammalia,Female,a1,6.968181391,1.181498467,4.778503904,9.386404766
Pan troglodytes,Mammalia,Female,c,0.012857586,0.000779857,0.011348588,0.014388905
Pan troglodytes,Mammalia,Female,b0,-12.44925695,1.653316861,-16.33910161,-9.939932006
Pan troglodytes,Mammalia,Female,b1,0.17961233,0.029711498,0.132879173,0.249880469
Pan troglodytes,Mammalia,Male,a0,0.740615999,0.129918169,0.492900044,0.992845732
Pan troglodytes,Mammalia,Male,a1,12.13068209,1.479346176,9.415552237,15.22332185
Pan troglodytes,Mammalia,Male,c,0.019866843,0.001376492,0.01710309,0.022408919
Pan troglodytes,Mammalia,Male,b0,-10.28436784,2.174811762,-15.95646768,-7.328589956
Pan troglodytes,Mammalia,Male,b1,0.136558163,0.039322038,0.0795144,0.238343376
Dolichotis patagonum,Mammalia,Female,a0,0.79629813,0.104334577,0.588986379,0.98830088
Dolichotis patagonum,Mammalia,Female,a1,33.25598002,3.099329384,27.37242685,39.38905104
Dolichotis patagonum,Mammalia,Female,c,0.170956704,0.0039559,0.162907895,0.178720092
Dolichotis patagonum,Mammalia,Female,b0,-10.00440253,1.347745935,-13.03009265,-7.720492303
Dolichotis patagonum,Mammalia,Female,b1,0.624933685,0.094229251,0.46015568,0.83290689
Dolichotis patagonum,Mammalia,Male,a0,1.027768512,0.09356999,0.837117169,1.208909274
Dolichotis patagonum,Mammalia,Male,a1,34.21721575,2.767406409,29.08213837,39.65720526
Dolichotis patagonum,Mammalia,Male,c,0.197964314,0.004248416,0.189774301,0.206228329
Dolichotis patagonum,Mammalia,Male,b0,-15.23136378,2.619849144,-20.63081579,-10.43511004
Dolichotis patagonum,Mammalia,Male,b1,0.967775266,0.174103668,0.649469562,1.324510846
Capra falconeri,Mammalia,Female,a0,1.29017515,0.123442302,1.03310486,1.521831311
Capra falconeri,Mammalia,Female,a1,25.21202413,3.550544057,18.16526003,32.14434218
Capra falconeri,Mammalia,Female,c,0.136456064,0.005309957,0.125793221,0.146745702
Capra falconeri,Mammalia,Female,b0,-10.77208827,1.54840842,-14.18863878,-8.116877442
Capra falconeri,Mammalia,Female,b1,0.681634752,0.108270466,0.490094361,0.919361693
Capra falconeri,Mammalia,Male,a0,1.677612747,0.10457318,1.46479615,1.874833243
Capra falconeri,Mammalia,Male,a1,35.51733699,3.772527755,27.88454884,42.78487621
Capra falconeri,Mammalia,Male,c,0.13762716,0.005409491,0.126969765,0.148359827
Capra falconeri,Mammalia,Male,b0,-10.34955718,1.185363212,-12.97057541,-8.297519931
Capra falconeri,Mammalia,Male,b1,0.669522153,0.085989767,0.512180565,0.85837793
Pecari tajacu,Mammalia,Female,a0,-0.623763287,0.25191398,-0.908109467,0.302129656
Pecari tajacu,Mammalia,Female,a1,2.835305306,2.647624759,1.610421226,12.53188066
Pecari tajacu,Mammalia,Female,c,0.059157311,0.007161308,0.04629005,0.077684312
Pecari tajacu,Mammalia,Female,b0,-7.098128109,0.969773484,-9.330405235,-5.447746521
Pecari tajacu,Mammalia,Female,b1,0.25058034,0.044338944,0.171319466,0.350169077
Pecari tajacu,Mammalia,Male,a0,1.440169914,0.115916851,1.209650607,1.659764799
Pecari tajacu,Mammalia,Male,a1,29.69043047,3.095174459,23.88213406,35.77097736
Pecari tajacu,Mammalia,Male,c,0.098857706,0.003708015,0.091611717,0.106036176
Pecari tajacu,Mammalia,Male,b0,-12.1572525,1.602149738,-15.73196468,-9.477895944
Pecari tajacu,Mammalia,Male,b1,0.445403448,0.067923045,0.323774003,0.592277682
Suncus murinus,Mammalia,Female,a0,-2.489239251,0.787021225,-4.183917701,-1.119564885
Suncus murinus,Mammalia,Female,a1,4.251472563,3.161897864,0.123558639,11.57991578
Suncus murinus,Mammalia,Female,c,0.14107522,0.074199775,0.012142635,0.2894933
Suncus murinus,Mammalia,Female,b0,-3.497850436,0.726546177,-5.058256113,-2.285628074
Suncus murinus,Mammalia,Female,b1,1.712817208,0.296598713,1.19983917,2.345356069
Suncus murinus,Mammalia,Male,a0,-2.208284194,0.816285814,-3.988575131,-0.748992766
Suncus murinus,Mammalia,Male,a1,5.144832379,2.996860936,0.456151725,12.02800193
Suncus murinus,Mammalia,Male,c,0.078013389,0.056936147,0.00301226,0.210460254
Suncus murinus,Mammalia,Male,b0,-2.717341959,0.418616119,-3.639816206,-2.010412171
Suncus murinus,Mammalia,Male,b1,1.400876565,0.179911947,1.074259516,1.782265665
Axis calamianensis,Mammalia,Female,a0,1.177553828,0.366883429,0.418942803,1.830184459
Axis calamianensis,Mammalia,Female,a1,12.60531501,3.010473766,7.116193319,19.00377612
Axis calamianensis,Mammalia,Female,c,0.025935509,0.01795025,0.001300268,0.068570213
Axis calamianensis,Mammalia,Female,b0,-5.47732065,1.011172143,-8.005835265,-3.98614574
Axis calamianensis,Mammalia,Female,b1,0.422188629,0.091302629,0.27732323,0.643143922
Axis calamianensis,Mammalia,Male,a0,0.932325277,0.384171832,0.125170116,1.655206619
Axis calamianensis,Mammalia,Male,a1,14.69735571,3.362519203,8.586798482,21.58339977
Axis calamianensis,Mammalia,Male,c,0.03307957,0.027309753,0.001184367,0.102141599
Axis calamianensis,Mammalia,Male,b0,-3.412568683,0.601710191,-4.86762218,-2.593040321
Axis calamianensis,Mammalia,Male,b1,0.23736638,0.054997488,0.142472701,0.35378685
Capra ibex,Mammalia,Female,a0,0.880318287,0.139663263,0.595411355,1.144130169
Capra ibex,Mammalia,Female,a1,27.25092356,3.503356714,20.4294644,34.23370683
Capra ibex,Mammalia,Female,c,0.080619969,0.005032845,0.070641914,0.090298816
Capra ibex,Mammalia,Female,b0,-7.725415246,1.030071562,-9.97070109,-5.908638796
Capra ibex,Mammalia,Female,b1,0.408473011,0.066779087,0.286595976,0.549621173
Capra ibex,Mammalia,Male,a0,0.798574155,0.136305147,0.528473513,1.063424192
Capra ibex,Mammalia,Male,a1,17.8390605,2.697529205,13.11497315,23.65057572
Capra ibex,Mammalia,Male,c,0.088236699,0.005287997,0.077680539,0.098809502
Capra ibex,Mammalia,Male,b0,-8.457239331,1.071182535,-10.73904987,-6.548903966
Capra ibex,Mammalia,Male,b1,0.451966564,0.069985547,0.322898972,0.600979709
Cervus albirostris,Mammalia,Female,a0,0.985198998,0.244825145,0.475875167,1.450496622
Cervus albirostris,Mammalia,Female,a1,20.41891348,3.223536607,14.32733386,27.20638567
Cervus albirostris,Mammalia,Female,c,0.062296318,0.007674442,0.04735326,0.077661401
Cervus albirostris,Mammalia,Female,b0,-9.646474265,2.059853355,-14.15832422,-6.192701749
Cervus albirostris,Mammalia,Female,b1,0.426407381,0.107516109,0.239180729,0.654623118
Cervus albirostris,Mammalia,Male,a0,1.235580939,0.22608629,0.77862459,1.65683847
Cervus albirostris,Mammalia,Male,a1,19.57345293,3.290498102,13.62732088,26.34465967
Cervus albirostris,Mammalia,Male,c,0.099124196,0.011929914,0.076220241,0.124043775
Cervus albirostris,Mammalia,Male,b0,-9.170617597,2.357926706,-14.39062162,-5.150606495
Cervus albirostris,Mammalia,Male,b1,0.427472977,0.13947343,0.154150786,0.712934264
Cynopterus brachyotis,Mammalia,Female,a0,0.923754959,0.330000961,0.238905107,1.523026399
Cynopterus brachyotis,Mammalia,Female,a1,8.137765289,2.089399102,4.645503394,12.73487553
Cynopterus brachyotis,Mammalia,Female,c,0.052906313,0.025912191,0.004904321,0.102054777
Cynopterus brachyotis,Mammalia,Female,b0,-5.518176478,1.733961926,-9.702572215,-3.266443021
Cynopterus brachyotis,Mammalia,Female,b1,0.286957382,0.112086564,0.129147185,0.553965982
Cynopterus brachyotis,Mammalia,Male,a0,-1.236484268,0.754338928,-2.93400882,0.030221772
Cynopterus brachyotis,Mammalia,Male,a1,5.891022133,2.887284027,1.333957261,12.32060211
Cynopterus brachyotis,Mammalia,Male,c,0.095861418,0.035728938,0.015896581,0.159012803
Cynopterus brachyotis,Mammalia,Male,b0,-5.35278675,1.567997691,-8.842641132,-2.918062932
Cynopterus brachyotis,Mammalia,Male,b1,0.406325987,0.136526816,0.186152285,0.706001676
Eidolon helvum,Mammalia,Female,a0,0.217301413,0.223773939,-0.24017522,0.634114297
Eidolon helvum,Mammalia,Female,a1,16.95838854,2.937888727,11.51767623,23.06613752
Eidolon helvum,Mammalia,Female,c,0.018105722,0.002343363,0.013554658,0.022735408
Eidolon helvum,Mammalia,Female,b0,-8.235424556,0.824204177,-10.05217006,-6.771246998
Eidolon helvum,Mammalia,Female,b1,0.299579253,0.041251186,0.224879017,0.388414974
Eidolon helvum,Mammalia,Male,a0,0.571009462,0.192885418,0.184292001,0.937372571
Eidolon helvum,Mammalia,Male,a1,17.97551235,2.776806953,12.67383203,23.70657248
Eidolon helvum,Mammalia,Male,c,0.016441821,0.003537114,0.008823897,0.023177466
Eidolon helvum,Mammalia,Male,b0,-5.997248732,0.487477067,-6.997893839,-5.055171102
Eidolon helvum,Mammalia,Male,b1,0.211591726,0.026275946,0.159923899,0.263941731
Pteropus giganteus,Mammalia,Female,a0,0.411415439,0.264134565,-0.117903124,0.908994458
Pteropus giganteus,Mammalia,Female,a1,15.08627881,3.163926397,9.190373789,21.48350808
Pteropus giganteus,Mammalia,Female,c,0.088019942,0.005541279,0.077347848,0.098923914
Pteropus giganteus,Mammalia,Female,b0,-11.06034748,2.550437271,-16.60582548,-6.583863736
Pteropus giganteus,Mammalia,Female,b1,0.390706941,0.110366134,0.189798288,0.624799674
Pteropus giganteus,Mammalia,Male,a0,0.542807892,0.227216235,0.074396943,0.971457697
Pteropus giganteus,Mammalia,Male,a1,12.7908706,2.920493543,7.565020437,18.8995112
Pteropus giganteus,Mammalia,Male,c,0.088186918,0.010259701,0.063174007,0.103754173
Pteropus giganteus,Mammalia,Male,b0,-7.091458251,1.812750691,-11.22090018,-4.00577717
Pteropus giganteus,Mammalia,Male,b1,0.218929034,0.079923601,0.074981895,0.396039251
Sciurus vulgaris,Mammalia,Female,a0,-0.914998739,0.262626889,-1.471524938,-0.448837921
Sciurus vulgaris,Mammalia,Female,a1,2.257580261,0.810079642,1.040155127,4.152098641
Sciurus vulgaris,Mammalia,Female,c,0.172009682,0.053486989,0.033354536,0.243242948
Sciurus vulgaris,Mammalia,Female,b0,-5.54389002,2.347249468,-11.21589775,-2.383352617
Sciurus vulgaris,Mammalia,Female,b1,0.498490071,0.245208337,0.16923467,1.080246179
Sciurus vulgaris,Mammalia,Male,a0,-0.507277898,0.197202014,-0.906490543,-0.124932872
Sciurus vulgaris,Mammalia,Male,a1,2.46202633,0.697783535,1.330444973,4.03938088
Sciurus vulgaris,Mammalia,Male,c,0.1971531,0.044081806,0.080325226,0.259172929
Sciurus vulgaris,Mammalia,Male,b0,-5.240271109,1.496819083,-8.679620388,-2.732453807
Sciurus vulgaris,Mammalia,Male,b1,0.511329328,0.166211102,0.22848162,0.888421859
Tamiasciurus hudsonicus,Mammalia,Female,a0,-2.227648867,0.883313749,-4.090218875,-0.595571516
Tamiasciurus hudsonicus,Mammalia,Female,a1,3.98768282,3.02093811,0.235458054,11.68006906
Tamiasciurus hudsonicus,Mammalia,Female,c,0.113608053,0.049418566,0.014819063,0.208975974
Tamiasciurus hudsonicus,Mammalia,Female,b0,-5.758865527,2.14582258,-10.96810581,-2.699499339
Tamiasciurus hudsonicus,Mammalia,Female,b1,0.499547866,0.223728832,0.133181851,1.023337545
Tamiasciurus hudsonicus,Mammalia,Male,a0,-2.210743261,0.85111891,-3.973160088,-0.657188609
Tamiasciurus hudsonicus,Mammalia,Male,a1,3.747978281,2.835954127,0.300977596,10.72150708
Tamiasciurus hudsonicus,Mammalia,Male,c,0.093037714,0.036918636,0.016873162,0.164711869
Tamiasciurus hudsonicus,Mammalia,Male,b0,-6.766021092,2.064671548,-11.41493229,-3.400224115
Tamiasciurus hudsonicus,Mammalia,Male,b1,0.667224849,0.231554072,0.271539611,1.171700768
Glaucomys volans,Mammalia,Female,a0,-0.764636158,0.717911994,-2.3104005,0.490152612
Glaucomys volans,Mammalia,Female,a1,6.755680301,2.998747764,1.606643112,13.26279593
Glaucomys volans,Mammalia,Female,c,0.045174738,0.019729476,0.006379937,0.082064423
Glaucomys volans,Mammalia,Female,b0,-5.078668884,0.997572578,-7.264913402,-3.48214979
Glaucomys volans,Mammalia,Female,b1,0.323320803,0.08268696,0.181812116,0.498850299
Glaucomys volans,Mammalia,Male,a0,0.474127359,0.414718886,-0.373181596,1.276565112
Glaucomys volans,Mammalia,Male,a1,6.369832699,2.144816489,3.095796857,11.32144537
Glaucomys volans,Mammalia,Male,c,0.032157546,0.017922249,0.002124941,0.069349471
Glaucomys volans,Mammalia,Male,b0,-4.605930497,0.777987885,-6.348512881,-3.435838146
Glaucomys volans,Mammalia,Male,b1,0.272595693,0.060260697,0.173018627,0.403371475
Callosciurus prevostii,Mammalia,Female,a0,-0.308973639,0.303297177,-0.945134237,0.252422186
Callosciurus prevostii,Mammalia,Female,a1,12.9362711,3.109448907,7.069499204,19.45852391
Callosciurus prevostii,Mammalia,Female,c,0.099718598,0.01917719,0.05270464,0.12978169
Callosciurus prevostii,Mammalia,Female,b0,-4.964348539,1.011944987,-7.158282105,-3.1644799
Callosciurus prevostii,Mammalia,Female,b1,0.279284412,0.075159972,0.145213787,0.438854667
Callosciurus prevostii,Mammalia,Male,a0,0.084581279,0.236229886,-0.386949179,0.533389439
Callosciurus prevostii,Mammalia,Male,a1,12.01375706,2.474839569,7.484112801,17.38424813
Callosciurus prevostii,Mammalia,Male,c,0.097053472,0.012419588,0.069913256,0.117634479
Callosciurus prevostii,Mammalia,Male,b0,-6.798532373,1.614824628,-10.45631626,-4.254854339
Callosciurus prevostii,Mammalia,Male,b1,0.396903561,0.115483551,0.209310291,0.652453164
Hydrochoerus hydrochaeris,Mammalia,Female,a0,0.344401881,0.116803221,0.109774579,0.571416164
Hydrochoerus hydrochaeris,Mammalia,Female,a1,19.96199561,2.494470332,15.42947754,25.1262821
Hydrochoerus hydrochaeris,Mammalia,Female,c,0.12106264,0.003770412,0.113662975,0.128434885
Hydrochoerus hydrochaeris,Mammalia,Female,b0,-8.1476471,0.489881201,-9.128483545,-7.220737206
Hydrochoerus hydrochaeris,Mammalia,Female,b1,0.646755169,0.04379026,0.562607745,0.732508603
Hydrochoerus hydrochaeris,Mammalia,Male,a0,0.198434519,0.125215073,-0.049829381,0.437215112
Hydrochoerus hydrochaeris,Mammalia,Male,a1,19.08029016,2.552318314,14.38287977,24.33127261
Hydrochoerus hydrochaeris,Mammalia,Male,c,0.149552348,0.004304413,0.141103388,0.158246273
Hydrochoerus hydrochaeris,Mammalia,Male,b0,-9.882095775,0.831182278,-11.6411837,-8.408056642
