Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Vulpes vulpes,Mammalia,Female,a0,-0.688990409,0.164495218,-1.00809516,-0.36892884
Vulpes vulpes,Mammalia,Female,a1,1.724258321,0.340625742,1.171854793,2.468027291
Vulpes vulpes,Mammalia,Female,c,0.025483606,0.01002158,0.004254984,0.043391067
Vulpes vulpes,Mammalia,Female,b0,-5.538463599,0.620979952,-6.869786662,-4.38852202
Vulpes vulpes,Mammalia,Female,b1,0.313120176,0.046811468,0.226583275,0.41296555
Vulpes vulpes,Mammalia,Male,a0,-0.351819753,0.129394911,-0.601747425,-0.096307354
Vulpes vulpes,Mammalia,Male,a1,1.730917543,0.251163735,1.29199398,2.264226291
Vulpes vulpes,Mammalia,Male,c,0.030027965,0.009648154,0.008392395,0.046493022
Vulpes vulpes,Mammalia,Male,b0,-5.761994181,0.625055416,-6.991165065,-4.537547787
Vulpes vulpes,Mammalia,Male,b1,0.332195891,0.046670295,0.239715309,0.423297782
Capra sibirica,Mammalia,Female,a0,1.129491997,0.1497419,0.838338093,1.415861577
Capra sibirica,Mammalia,Female,a1,13.94966257,2.397918581,9.840602319,19.02724205
Capra sibirica,Mammalia,Female,c,0.101993722,0.007343988,0.0874537,0.116375064
Capra sibirica,Mammalia,Female,b0,-10.33139888,1.484530735,-13.43269098,-7.669856299
Capra sibirica,Mammalia,Female,b1,0.631875306,0.101380149,0.442834794,0.840238118
Capra sibirica,Mammalia,Male,a0,1.191033526,0.136966934,0.918029242,1.4622804
Capra sibirica,Mammalia,Male,a1,14.7653095,2.201244824,10.88866548,19.40188626
Capra sibirica,Mammalia,Male,c,0.141869485,0.010554067,0.12139803,0.162755009
Capra sibirica,Mammalia,Male,b0,-7.908926348,1.49067236,-11.18656057,-5.369140136
Capra sibirica,Mammalia,Male,b1,0.456629229,0.109991446,0.252421586,0.676323856
Eulemur coronatus,Mammalia,Female,a0,-0.262127766,0.311418507,-0.895375177,0.33803837
Eulemur coronatus,Mammalia,Female,a1,4.602436027,1.491519561,2.483372,8.341565106
Eulemur coronatus,Mammalia,Female,c,0.015153708,0.006293731,0.002757753,0.027647296
Eulemur coronatus,Mammalia,Female,b0,-7.886847061,1.554920043,-11.48264313,-5.348623847
Eulemur coronatus,Mammalia,Female,b1,0.292450644,0.073351944,0.167774054,0.456385686
Eulemur coronatus,Mammalia,Male,a0,0.774424024,0.236990887,0.300191073,1.21943428
Eulemur coronatus,Mammalia,Male,a1,11.47114471,2.144145153,7.680260568,16.00922921
Eulemur coronatus,Mammalia,Male,c,0.015023205,0.005897486,0.003218081,0.026545556
Eulemur coronatus,Mammalia,Male,b0,-6.852196364,1.135011508,-9.384954182,-4.970767117
Eulemur coronatus,Mammalia,Male,b1,0.245129571,0.054195326,0.150388923,0.36146409
Vulpes zerda,Mammalia,Female,a0,1.895120241,0.126519303,1.64027894,2.137486788
Vulpes zerda,Mammalia,Female,a1,25.06255192,2.433125001,20.52229173,29.91324597
Vulpes zerda,Mammalia,Female,c,0.036125461,0.003818092,0.028944216,0.043831286
Vulpes zerda,Mammalia,Female,b0,-8.030796251,0.470214416,-8.963861638,-7.124230381
Vulpes zerda,Mammalia,Female,b1,0.592447605,0.039299745,0.515675284,0.670166376
Vulpes zerda,Mammalia,Male,a0,1.592710065,0.128583407,1.339041512,1.83758048
Vulpes zerda,Mammalia,Male,a1,20.32168034,1.981311315,16.62483987,24.5149362
Vulpes zerda,Mammalia,Male,c,0.028303407,0.004132116,0.02028549,0.036673388
Vulpes zerda,Mammalia,Male,b0,-6.950257741,0.45921179,-7.872493831,-6.097143097
Vulpes zerda,Mammalia,Male,b1,0.493381206,0.038508154,0.419626753,0.570693769
Helarctos malayanus,Mammalia,Female,a0,-1.075730109,0.487118844,-2.084923903,-0.164023782
Helarctos malayanus,Mammalia,Female,a1,6.151364998,2.274060881,2.495202804,11.10581041
Helarctos malayanus,Mammalia,Female,c,0.008987763,0.003653457,0.001851984,0.016078067
Helarctos malayanus,Mammalia,Female,b0,-7.137009724,0.970263579,-9.279089847,-5.549211294
Helarctos malayanus,Mammalia,Female,b1,0.163170715,0.033139923,0.10765517,0.23353843
Helarctos malayanus,Mammalia,Male,a0,0.291008307,0.388391942,-0.493228676,1.004473404
Helarctos malayanus,Mammalia,Male,a1,7.669599371,2.003302171,4.251982109,12.1093902
Helarctos malayanus,Mammalia,Male,c,0.006881997,0.004153728,0.000484261,0.015790689
Helarctos malayanus,Mammalia,Male,b0,-6.568050383,1.02535051,-8.988839645,-5.094719995
Helarctos malayanus,Mammalia,Male,b1,0.145651738,0.038301832,0.08739967,0.234449664
Macropus fuliginosus,Mammalia,Female,a0,-1.651431414,0.143655443,-1.952470953,-1.383052228
Macropus fuliginosus,Mammalia,Female,a1,0.788070172,0.195244733,0.488623602,1.237391997
Macropus fuliginosus,Mammalia,Female,c,0.037945145,0.017068054,0.004400189,0.067445737
Macropus fuliginosus,Mammalia,Female,b0,-5.038524065,0.807727459,-6.857133328,-3.766033443
Macropus fuliginosus,Mammalia,Female,b1,0.218333988,0.046366747,0.143099368,0.323329366
Macropus fuliginosus,Mammalia,Male,a0,-1.598498862,0.177568682,-1.972149627,-1.292225843
Macropus fuliginosus,Mammalia,Male,a1,0.740396457,0.214926746,0.407031443,1.225432501
Macropus fuliginosus,Mammalia,Male,c,0.069453389,0.030483843,0.007888846,0.118749036
Macropus fuliginosus,Mammalia,Male,b0,-4.664830176,1.07183489,-7.110702231,-3.081358672
Macropus fuliginosus,Mammalia,Male,b1,0.216549941,0.062939055,0.12018954,0.358387516
Erethizon dorsatum,Mammalia,Female,a0,-1.9609628,0.6365538,-3.378848877,-0.857306381
Erethizon dorsatum,Mammalia,Female,a1,4.131526385,2.692215464,0.395041516,10.60661924
Erethizon dorsatum,Mammalia,Female,c,0.150135219,0.012709135,0.125467768,0.168891089
Erethizon dorsatum,Mammalia,Female,b0,-10.12133433,2.569336229,-15.4857384,-5.451263575
Erethizon dorsatum,Mammalia,Female,b1,0.517745826,0.167717685,0.20145963,0.853595721
Erethizon dorsatum,Mammalia,Male,a0,-1.154769875,0.466238277,-2.133489621,-0.360827677
Erethizon dorsatum,Mammalia,Male,a1,3.746547113,1.775173668,0.947434586,7.860537403
Erethizon dorsatum,Mammalia,Male,c,0.126143962,0.011561573,0.102404346,0.145438219
Erethizon dorsatum,Mammalia,Male,b0,-9.050932679,2.005243884,-13.28413083,-5.405704157
Erethizon dorsatum,Mammalia,Male,b1,0.462063575,0.12509291,0.225531884,0.719512903
Dama dama,Mammalia,Female,a0,0.650589968,0.094211657,0.463762396,0.83087323
Dama dama,Mammalia,Female,a1,38.00600493,2.656310627,32.97278811,43.34447691
Dama dama,Mammalia,Female,c,0.058910053,0.002018014,0.05491227,0.062834316
Dama dama,Mammalia,Female,b0,-7.151859504,0.345823302,-7.855969794,-6.496304657
Dama dama,Mammalia,Female,b1,0.326314175,0.020370371,0.287208102,0.366837489
Dama dama,Mammalia,Male,a0,0.675350409,0.100993955,0.475943929,0.869786071
Dama dama,Mammalia,Male,a1,42.43017138,3.121792567,36.56686711,48.83347321
Dama dama,Mammalia,Male,c,0.130399881,0.003981992,0.12226179,0.137629267
Dama dama,Mammalia,Male,b0,-7.771443638,1.409648292,-11.03515169,-5.450990602
Dama dama,Mammalia,Male,b1,0.309817826,0.081813725,0.162980276,0.484208312
Mustela putorius,Mammalia,Female,a0,-2.155965012,0.267508167,-2.708283669,-1.628274228
Mustela putorius,Mammalia,Female,a1,1.667087973,0.510868448,0.943232026,2.823427609
Mustela putorius,Mammalia,Female,c,0.005313134,0.004624829,0.000143992,0.017242418
Mustela putorius,Mammalia,Female,b0,-4.290497866,0.139861287,-4.588178457,-4.034486122
Mustela putorius,Mammalia,Female,b1,0.502506215,0.020131931,0.464324087,0.543614539
Mustela putorius,Mammalia,Male,a0,-1.811273924,0.238908322,-2.28640904,-1.355141745
Mustela putorius,Mammalia,Male,a1,2.060924298,0.468229368,1.308560522,3.109053246
Mustela putorius,Mammalia,Male,c,0.003118758,0.002995119,9.25441388789931e-05,0.011021924
Mustela putorius,Mammalia,Male,b0,-3.933563916,0.102421576,-4.141319396,-3.738631511
Mustela putorius,Mammalia,Male,b1,0.493852978,0.016257774,0.462670276,0.526799359
Neovison vison,Mammalia,Female,a0,-1.369272235,0.537563002,-2.629920711,-0.529169907
Neovison vison,Mammalia,Female,a1,1.357556168,1.192706478,0.272240869,4.625793912
Neovison vison,Mammalia,Female,c,0.099910183,0.035763088,0.021902948,0.16590846
Neovison vison,Mammalia,Female,b0,-9.104917288,2.721396128,-15.00799617,-4.446083967
Neovison vison,Mammalia,Female,b1,0.761019332,0.271691214,0.26616909,1.337800948
Neovison vison,Mammalia,Male,a0,-1.225675217,0.653337776,-2.760610268,-0.157966448
Neovison vison,Mammalia,Male,a1,2.582641561,1.580772783,0.658884935,6.688574074
Neovison vison,Mammalia,Male,c,0.081919189,0.0340883,0.011521493,0.145561401
Neovison vison,Mammalia,Male,b0,-6.710862852,1.931566123,-11.21237424,-3.628077718
Neovison vison,Mammalia,Male,b1,0.666107447,0.216047659,0.297873471,1.145271565
Taxidea taxus,Mammalia,Female,a0,-2.397960564,0.886225812,-4.106507281,-0.628750188
Taxidea taxus,Mammalia,Female,a1,4.857923729,3.092435984,0.531139221,11.98417112
Taxidea taxus,Mammalia,Female,c,0.029044156,0.01179099,0.006725618,0.054186369
Taxidea taxus,Mammalia,Female,b0,-7.885832599,1.802482561,-12.00558805,-4.966083447
Taxidea taxus,Mammalia,Female,b1,0.367221288,0.10211108,0.194203457,0.598046848
Taxidea taxus,Mammalia,Male,a0,-1.062632202,0.626345765,-2.389927586,0.097191063
Taxidea taxus,Mammalia,Male,a1,1.693391758,1.027859429,0.518956398,4.284894268
Taxidea taxus,Mammalia,Male,c,0.017662398,0.010779914,0.001555923,0.041941295
Taxidea taxus,Mammalia,Male,b0,-8.709840339,1.787903513,-12.79627095,-5.815117848
Taxidea taxus,Mammalia,Male,b1,0.445937526,0.111921998,0.256663808,0.698705994
Mephitis mephitis,Mammalia,Female,a0,-0.446984962,0.197865413,-0.843216088,-0.064974432
Mephitis mephitis,Mammalia,Female,a1,4.361738093,0.776815578,2.998295101,6.015362849
Mephitis mephitis,Mammalia,Female,c,0.02581186,0.013650563,0.002111599,0.053142598
Mephitis mephitis,Mammalia,Female,b0,-4.212152836,0.399763388,-5.069023134,-3.571630168
Mephitis mephitis,Mammalia,Female,b1,0.405971732,0.046728585,0.327294831,0.501900705
Mephitis mephitis,Mammalia,Male,a0,-0.741011178,0.154392699,-1.047545456,-0.45142119
Mephitis mephitis,Mammalia,Male,a1,2.052337541,0.313516912,1.508801334,2.741501219
Mephitis mephitis,Mammalia,Male,c,0.008956219,0.007364756,0.000292313,0.027422548
Mephitis mephitis,Mammalia,Male,b0,-4.370598063,0.230280884,-4.863622972,-3.966094798
Mephitis mephitis,Mammalia,Male,b1,0.463592336,0.030415035,0.407438453,0.525723279
Saguinus oedipus,Mammalia,Female,a0,1.767083644,0.077591521,1.610668705,1.917176613
Saguinus oedipus,Mammalia,Female,a1,41.01546536,2.546935004,36.11698717,46.09367859
Saguinus oedipus,Mammalia,Female,c,0.078663768,0.003369461,0.071366865,0.08486175
Saguinus oedipus,Mammalia,Female,b0,-6.81115363,0.616382084,-8.078510125,-5.632556783
Saguinus oedipus,Mammalia,Female,b1,0.266884297,0.033875338,0.200962009,0.334239332
Saguinus oedipus,Mammalia,Male,a0,1.851404415,0.071404107,1.707176799,1.98917721
Saguinus oedipus,Mammalia,Male,a1,38.03756968,2.236572206,33.64402863,42.43223315
Saguinus oedipus,Mammalia,Male,c,0.072863153,0.002401348,0.068197051,0.077604665
Saguinus oedipus,Mammalia,Male,b0,-8.238275637,0.595947024,-9.488357344,-7.174580466
Saguinus oedipus,Mammalia,Male,b1,0.354758039,0.032049995,0.296325995,0.420847455
