"species","Class","Order","exDiff","FemaleBM","MaleBM","FemaleAFB","MaleAFB","MS","ReprEff","CareMammals","CareAves","Dichro","weights"
"Otus leucotis","Aves","Strigiformes",-0.0946693895454404,214.172684205323,207.104359201538,1.77796030116359,1.32785763175907,"1",NA,NA,-1,0,0.558335745746076
"Bucephala clangula","Aves","Anseriformes",0.178494019736975,607.68092944416,839.087538203927,1.08145106091718,1.36563997262149,"1",541.5,NA,-2,1,0.730858101151293
"Bucephala islandica","Aves","Anseriformes",0.199490591202447,678.307909339925,954.853670337446,2.01177275838467,1.97289527720739,"1",665,NA,-2,1,0.582697260332716
"Cairina moschata","Aves","Anseriformes",-0.00832889661578464,2144.8066801466,4468.07133855576,1.20793976728268,0.988637919233402,"0",1221,NA,NA,0.2,0.624756351163977
"Phoenicopterus chilensis","Aves","Phoenicopteriformes",-0.148406335918379,2257.09111532774,2769.87697219395,4.92484599589322,4.06242299794661,"1",NA,NA,NA,0,0.845438743592526
"Coracias cyanogaster","Aves","Coraciiformes",-0.0660423033932623,137.502581795726,151.130954744096,1.61314168377823,1.94880219028063,NA,NA,NA,NA,0,0.610271970794476
"Thinornis novaeseelandiae","Aves","Charadriiformes",-0.202747159997205,59.2037404807808,60.92181588971,0.982340862422998,0.97905544147844,"1",NA,NA,-0.6,0.2,0.53154057231034
"Callonetta leucophrys","Aves","Anseriformes",-0.147487564130237,307.386105590559,347.66281777942,1.06776180698152,1.12142368240931,"1",NA,NA,NA,0.6,0.877817040158695
"Eudyptes chrysocome","Aves","Sphenisciformes",0.113639107349671,2371.13599149715,2679.17678399815,5.52826830937714,6.02929500342231,"1",191.6,NA,-0.33,0,0.720275368651217
"Upupa epops","Aves","Bucerotiformes",-0.114983774450367,64.857438865062,68.4818760870862,0.88952772073922,0.833949349760438,"1",37.62,NA,-0.8,0,0.623884375842333
"Columbina talpacoti","Aves","Columbiformes",-0.169153114544816,46.2,46.3,NA,NA,NA,18,NA,NA,1,0.421244285258663
